Afghanistan,6,6
Albania,121,118
Algeria,71,77
Angola,59,48
Antigua and Barbuda,127,127
Argentina,148,145
Armenia,101,102
Australia,168,165
Austria,170,168
Azerbaijan,55,68
Bahamas,132,134
Bahrain,133,125
Bangladesh,24,29
Barbados,135,135
Belarus,82,85
Belgium,163,163
Belize,112,113
Benin,93,74
Bhutan,50,59
Bolivia,53,62
Bosnia & Herz.,60,79
Botswana,113,117
Brazil,119,123
Brunei Darussalam,117,123
Bulgaria,126,130
Burkina Faso,35,41
Burundi,23,18
Cambodia,40,37
Cameroon,26,26
Canada,166,169
Cape Verde,88,91
Central African Rep.,8,10
Chad,2,4
Chile,155,151
China,62,76
Colombia,46,52
Comoros,52,57
Congo (D. R.),5,2
Congo (Rep.),31,33
Costa Rica,138,139
Cote d'Ivoire,12,11
Croatia,131,130
Cuba,77,101
Cyprus,114,115
Czech Republic,152,155
Denmark,172,175
Djibouti,68,53
Dominican Republic,93,95
Ecuador,69,67
Egypt,49,31
El Salvador,85,93
Equatorial Guinea,44,43
Eritrea,30,23
Estonia,140,143
Ethiopia,17,17
Fiji,74,65
Finland,176,177
France,159,162
Gabon,98,92
Gambia,75,63
Georgia,37,51
Germany,157,164
Ghana,122,112
Greece,147,138
Grenada,123,121
Guatemala,72,70
Guinea,9,12
Guinea-Bissau,22,15
Guyana,102,104
Haiti,11,7
Honduras,76,75
Hungary,141,141
Iceland,165,166
India,79,78
Indonesia,61,63
Iran,32,34
Iraq,7,9
Ireland,173,170
Israel/West Bank,54,61
Italy,149,145
Jamaica,119,119
Japan,164,151
Jordan,90,90
Kazakhstan,103,107
Kenya,13,16
Kuwait,125,128
Kyrgyzstan,45,41
Laos,40,48
Latvia,135,136
Lebanon,34,45
Lesotho,67,72
Liberia,33,25
Libya,111,50
Lithuania,146,149
Luxembourg,168,172
Macedonia,103,109
Madagascar,64,58
Malawi,28,36
Malaysia,110,110
Maldives,84,88
Mali,78,79
Malta,145,150
Mauritania,39,38
Mauritius,150,147
Mexico,96,98
Micronesia,108,103
Moldova,58,73
Mongolia,129,129
Montenegro,134,133
Morocco,90,87
Mozambique,69,59
Myanmar,16,21
Namibia,100,106
Nepal,26,27
Netherlands,166,167
New Zealand,171,171
Nicaragua,65,69
Niger,19,18
Nigeria,14,14
North Korea,19,22
Norway,177,173
Oman,144,137
Pakistan,10,13
Panama,130,132
Papua New Guinea,56,54
Paraguay,106,107
Peru,92,99
Philippines,51,56
Poland,142,148
Portugal,162,160
Qatar,139,142
Romania,128,126
Russia,80,83
Rwanda,40,35
Samoa,107,110
Sao Tome,97,97
Saudi Arabia,87,100
Senegal,99,71
Serbia/Kosovo,86,89
Seychelles,115,120
Sierra Leone,28,31
Singapore,160,157
Slovakia,143,144
Slovenia,156,161
Solomon Islands,43,47
Somalia,1,1
South Africa,115,115
South Korea,153,156
Spain,151,153
Sri Lanka,25,29
Sudan,3,3
Suriname,105,105
Swaziland,63,55
Sweden,175,176
Switzerland,174,174
Syria,48,23
Tajikistan,38,46
Tanzania,72,66
Thailand,81,84
Timor-Leste,18,28
Togo,47,39
Trinidad and Tobago,124,122
Tunisia,118,94
Turkey,89,85
Turkmenistan,65,81
Uganda,21,20
Ukraine,109,113
United Arab Emirates,137,140
United Kingdom,161,158
United States,158,159
Uruguay,153,154
Uzbekistan,36,39
Venezuela,82,82
Vietnam,95,96
Yemen,15,8
Zambia,56,44
Zimbabwe,4,5
