Afghanistan,6,7,6
Albania,121,121,118
Algeria,71,81,77
Angola,59,52,48
Antigua and Barbuda,127,125,127
Argentina,148,145,145
Armenia,101,102,102
Australia,168,167,165
Austria,170,169,168
Azerbaijan,55,63,68
Bahamas,132,133,134
Bahrain,133,129,125
Bangladesh,24,25,29
Barbados,135,136,135
Belarus,82,83,85
Belgium,163,159,163
Belize,112,114,113
Benin,93,74,74
Bhutan,50,50,59
Bolivia,53,59,62
Bosnia & Herz.,60,69,79
Botswana,113,113,117
Brazil,119,123,123
Brunei Darussalam,117,122,123
Bulgaria,126,129,130
Burkina Faso,35,37,41
Burundi,23,17,18
Cambodia,40,38,37
Cameroon,26,24,26
Canada,166,168,169
Cape Verde,88,90,91
Central African Rep.,8,8,10
Chad,2,2,4
Chile,155,153,151
China,62,72,76
Colombia,46,44,52
Comoros,52,55,57
Congo (D. R.),5,4,2
Congo (Rep.),31,32,33
Costa Rica,138,137,139
Cote d'Ivoire,12,10,11
Croatia,131,132,130
Cuba,77,86,101
Cyprus,114,116,115
Czech Republic,152,152,155
Denmark,172,173,175
Djibouti,68,60,53
Dominican Republic,93,84,95
Ecuador,69,62,67
Egypt,49,45,31
El Salvador,85,89,93
Equatorial Guinea,44,41,43
Eritrea,30,28,23
Estonia,140,140,143
Ethiopia,17,20,17
Fiji,74,68,65
Finland,176,177,177
France,159,161,162
Gabon,98,92,92
Gambia,75,69,63
Georgia,37,47,51
Germany,157,162,164
Ghana,122,114,112
Greece,147,143,138
Grenada,123,120,121
Guatemala,72,72,70
Guinea,9,11,12
Guinea-Bissau,22,18,15
Guyana,102,100,104
Haiti,11,5,7
Honduras,76,78,75
Hungary,141,142,141
Iceland,165,165,166
India,79,76,78
Indonesia,61,64,63
Iran,32,35,34
Iraq,7,9,9
Ireland,173,171,170
Israel/West Bank,54,53,61
Italy,149,147,145
Jamaica,119,118,119
Japan,164,164,151
Jordan,90,96,90
Kazakhstan,103,107,107
Kenya,13,16,16
Kuwait,125,128,128
Kyrgyzstan,45,31,41
Laos,40,46,48
Latvia,135,135,136
Lebanon,34,43,45
Lesotho,67,71,72
Liberia,33,26,25
Libya,111,111,50
Lithuania,146,149,149
Luxembourg,168,170,172
Macedonia,103,106,109
Madagascar,64,58,58
Malawi,28,33,36
Malaysia,110,111,110
Maldives,84,91,88
Mali,78,77,79
Malta,145,148,150
Mauritania,39,42,38
Mauritius,150,150,147
Mexico,96,94,98
Micronesia,108,103,103
Moldova,58,66,73
Mongolia,129,127,129
Montenegro,134,134,133
Morocco,90,87,87
Mozambique,69,57,59
Myanmar,16,18,21
Namibia,100,104,106
Nepal,26,27,27
Netherlands,166,166,167
New Zealand,171,172,171
Nicaragua,65,66,69
Niger,19,15,18
Nigeria,14,14,14
North Korea,19,22,22
Norway,177,176,173
Oman,144,140,137
Pakistan,10,12,13
Panama,130,131,132
Papua New Guinea,56,54,54
Paraguay,106,101,107
Peru,92,99,99
Philippines,51,50,56
Poland,142,145,148
Portugal,162,163,160
Qatar,139,139,142
Romania,128,126,126
Russia,80,82,83
Rwanda,40,34,35
Samoa,107,109,110
Sao Tome,97,96,97
Saudi Arabia,87,93,100
Senegal,99,85,71
Serbia/Kosovo,86,98,89
Seychelles,115,119,120
Sierra Leone,28,30,31
Singapore,160,157,157
Slovakia,143,144,144
Slovenia,156,156,161
Solomon Islands,43,48,47
Somalia,1,1,1
South Africa,115,116,115
South Korea,153,155,156
Spain,151,151,153
Sri Lanka,25,29,29
Sudan,3,3,3
Suriname,105,105,105
Swaziland,63,61,55
Sweden,175,175,176
Switzerland,174,174,174
Syria,48,48,23
Tajikistan,38,39,46
Tanzania,72,65,66
Thailand,81,78,84
Timor-Leste,18,23,28
Togo,47,36,39
Trinidad and Tobago,124,124,122
Tunisia,118,108,94
Turkey,89,95,85
Turkmenistan,65,75,81
Uganda,21,21,20
Ukraine,109,110,113
United Arab Emirates,137,138,140
United Kingdom,161,159,158
United States,158,158,159
Uruguay,153,154,154
Uzbekistan,36,39,39
Venezuela,82,80,82
Vietnam,95,88,96
Yemen,15,13,8
Zambia,56,55,44
Zimbabwe,4,6,5
